Id,X,Y,Topic,NearestNeighbor,NearestNeighborDistance
2203610904,8.219679,7.20396,feature,408,0.028961665260917972
2249015858,7.3289156,5.4304867,children nodes,364,0.1826876161767042
2281341408,11.416972,7.479209,bug tests,177,0.02792782355995414
2288442629,10.034759,2.7069302,children nodes,341,0.07708446658359414
2325150743,6.2777953,6.19055,java version,350,0.04149073870317855
2351086266,6.7551484,4.989459,scroll bars,239,0.024224274881495044
2463803422,3.8048456,6.1441426,release config,12,0.011720940081722364
2468560608,7.211047,9.136885,feature docs,227,0.1114591287646967
2796249344,10.518223,6.739794,refactoring,339,0.027787136635420664
2876200288,10.717162,6.2262616,refactoring,377,0.1449133212853639
2878871123,8.993368,3.1462543,sequence diagram,288,0.18204472984456713
2885615891,7.5608606,7.9435925,diagram file,205,0.04536180650759605
3256185604,3.812371,6.1531286,release config,371,0.007666579243669046
3338434671,6.320068,6.676963,java version,190,0.035027366238075335
3338445057,10.240309,7.7595286,java 25,225,0.0861689691329192
3338452159,6.968953,8.855821,feature docs,338,0.0217911930193311
3457382322,10.937186,7.7730308,refactoring tests,389,0.03773451321438484
3457388552,10.002029,7.9272647,java 25,218,0.029927598725702536
53670514,10.201296,4.879308,children nodes,156,0.13844023336611727
53671580,8.831899,8.256576,children nodes,34,0.30166580500475587
53671869,8.074715,9.107579,feature config,180,0.21751743209814528
53673408,6.789151,5.7409225,nullpointerexception,333,0.054966145300215895
53675462,11.037407,7.8712516,refactoring tests,36,0.007319150912343617
53678227,10.137274,7.784502,java 25,415,0.028316845202617878
53755301,8.621273,7.027696,toolbar,87,0.15097139795943715
53766821,11.280155,6.442474,graph framework,197,0.1583132496632173
53767067,8.326414,4.711172,note node,118,0.05656202430026123
53797858,10.867193,5.977987,diagrambuilder,380,0.14451782506716385
53799211,6.9653,5.5610824,nullpointerexception,285,0.056516269809337646
53967079,8.405878,4.8120594,note node,123,0.04839759041314163
53967101,8.278392,3.8857608,note node,119,0.221004136314475
53967244,9.545107,5.537048,property editor,61,0.11319351067731205
53967276,7.204532,8.236824,diagram file,37,0.17846063185643837
