Id,Number,Title,Author,CreatedAt,UpdatedAt,ClosedAt,Labels,Body
3332291143,782,metas plugin using innerHTML instead of textContent,erik-stephens,08/18/2025 22:13:12 +00:00,08/31/2025 12:31:18 +00:00,08/31/2025 12:31:18 +00:00,bug,"### Version

2.5.2

### Platform

_No response_

### What steps will reproduce the bug?

Use a `querySelector()` that returns an element with sub-elements:

_data.yml
```yaml
metas:
  title: ""$ h1""
```

some-page.mdx:
```html
<h1><span>Foo</span><span>Bar</span></h1>
...
```



### How often does it reproduce? Is there a required condition?

_No response_

### What is the expected behavior?

I was expecting [the `textContent` value](https://github.com/lumeland/lume/blob/42f9efe0ab1a3fcb5294e1e9399aaa3b5556dc01/core/utils/data_values.ts#L96) but instead get my original key (eg `=title || $ h1`) since `innerHTML` is [not a string](https://github.com/lumeland/lume/blob/42f9efe0ab1a3fcb5294e1e9399aaa3b5556dc01/core/utils/data_values.ts#L26).  I suspect this is working as designed but thought I would mention in case `textContent` is a better option.  Probably not worth the risk of breaking others for this use case.  Maybe you see a workaround that I can't?  Thank you!

### What do you see instead?

`$ h1` instead of `Foo Bar`

### Additional information

_No response_"
3323662301,780,Lume `dest` absolute paths create relative directory,benstigsen,08/14/2025 21:34:35 +00:00,08/15/2025 10:52:50 +00:00,08/15/2025 10:52:44 +00:00,bug,"### Version

v3.0.6

### Platform

Linux

### What steps will reproduce the bug?

Let's say I'm at `/home/ben/foo/`:
```ts
import * as path from ""node:path"";
import lume from ""lume/mod.ts"";

// ""/home/ben/foo/../bar"" = ""/home/ben/bar""
const DESTINATION_DIRECTORY = path.resolve(""../bar/"");

console.log(DESTINATION_DIRECTORY); // ""/home/ben/bar""

const site = lume({
  dest: DESTINATION_DIRECTORY,
});

export default site;
```

This results in the destination folder `/home/ben/foo/home/ben/bar`, instead of the expected `/home/ben/bar`.

Making use of relative paths works though:
```ts
import * as path from ""node:path"";
import lume from ""lume/mod.ts"";

const DESTINATION_DIRECTORY = path.resolve(""../bar/"");

const site = lume({
  dest: path.relative(Deno.cwd(), DESTINATION_DIRECTORY),
});

export default site;
```

### How often does it reproduce? Is there a required condition?

Happens with an absolute `dest` site path.

### What is the expected behavior?

It should output the generated site at the absolute path.

### What do you see instead?

It outputs the absolute path relative to the current working directory.

### Additional information

_No response_"
3312042689,779,Add sourceURL to inlined javascript & css code,oscarotero,08/12/2025 00:27:48 +00:00,08/12/2025 11:12:33 +00:00,08/12/2025 11:12:33 +00:00,enhancement,"### Enter your suggestions in details:

More info: https://www.brandonpugh.com/til/devtools/inline-script-sourceurl/"
3307228100,778,MDX: unintuitive error message when using default export as named import,scarf005,08/10/2025 06:22:38 +00:00,08/10/2025 10:53:41 +00:00,08/10/2025 10:53:41 +00:00,bug,"### Version

3.0.6

### Platform

linux

### What steps will reproduce the bug?

1. clone https://github.com/issues-repros/lume-mdx-video-repro
2. run `deno task build`

### How often does it reproduce? Is there a required condition?

always

### What is the expected behavior?

MDX works

### What do you see instead?

```sh
$ deno task build
Task build deno task lume
Task lume echo ""import 'lume/cli.ts'"" | deno run -A -
Loading config file file:///run/media/home/scarf/repo/etc/lume-mdx-video-repro/_config.ts
error: Uncaught (in promise) Error: Error rendering the page: /index.mdx
            throw new Error(`Error rendering the page: ${page.sourcePath}`, {
                  ^
    at https://deno.land/x/lume@v3.0.6/core/renderer.ts:171:19
    at async Promise.all (index 0)
    at async concurrent (https://deno.land/x/lume@v3.0.6/core/utils/concurrent.ts:21:3)
    at async Renderer.renderPages (https://deno.land/x/lume@v3.0.6/core/renderer.ts:157:7)
    at async Site.#buildPages (https://deno.land/x/lume@v3.0.6/core/site.ts:807:5)
    at async Site.build (https://deno.land/x/lume@v3.0.6/core/site.ts:650:9)
    at async buildSite (https://deno.land/x/lume@v3.0.6/cli/utils.ts:25:3)
    at async build (https://deno.land/x/lume@v3.0.6/cli/build.ts:17:5)
Caused by: TypeError: type is not a function
    at renderComponent (https://deno.land/x/ssx@v0.1.11/jsx-runtime.ts:188:22)
    at jsxEscape (https://deno.land/x/ssx@v0.1.11/jsx-runtime.ts:122:22)
    at Array.map (<anonymous>)
    at jsxEscape (https://deno.land/x/ssx@v0.1.11/jsx-runtime.ts:108:39)
    at renderComponent (https://deno.land/x/ssx@v0.1.11/jsx-runtime.ts:154:18)
    at MDXEngine.render (https://deno.land/x/lume@v3.0.6/plugins/mdx.ts:104:12)
    at async Renderer.render (https://deno.land/x/lume@v3.0.6/core/renderer.ts:218:19)
    at async Renderer.#renderPage (https://deno.land/x/lume@v3.0.6/core/renderer.ts:244:12)
    at async https://deno.land/x/lume@v3.0.6/core/renderer.ts:161:29
    at async Promise.all (index 0)
```

### Additional information

_No response_"
3306420083,777,redirect: support URL patterns,scarf005,08/09/2025 14:20:09 +00:00,08/10/2025 09:51:29 +00:00,,enhancement,"### Enter your suggestions in details:

they'll be useful when moving entire directory of pages into another location. could also accept <https://developer.mozilla.org/en-US/docs/Web/API/URLPattern/URLPattern>?

## Example Usage

```ts
site.add(redirects({
  patterns: {
    ""/en/*"": ""/*"",
    ""/:name/foo"": ""{name}/bar""
  }
}))
```

## Other Notes

I'm interested in opening a PR.

previous discord discussion:
- https://discord.com/channels/794537085641818124/794537086278828094/1403182826991390801
- https://discord.com/channels/794537085641818124/794537086278828094/1403300587365339218"
3306206193,776,Vento v2,oscarotero,08/09/2025 10:28:14 +00:00,09/01/2025 11:45:46 +00:00,09/01/2025 11:45:42 +00:00,,"Testing Vento 2.0 in Lume

### Check List

- [X] Have you read the
      [CODE OF CONDUCT](https://github.com/lumeland/lume/blob/master/CODE_OF_CONDUCT.md)
- [X] Have you read the document
      [CONTRIBUTING](https://github.com/lumeland/lume/blob/master/CONTRIBUTING.md)
  - [X] One pull request per feature. If you want to do more than one thing,
        send multiple pull request.
  - [X] Write tests.
  - [X] Run deno `fmt` to fix the code format before commit.
  - [ ] Document any change in the `CHANGELOG.md`.
"
3294262154,774,add the `stylePropertyNameCase` option to the mdx plugin,s7tya,08/05/2025 19:54:09 +00:00,08/06/2025 14:23:39 +00:00,08/06/2025 08:45:31 +00:00,,"<!--Please read the [Code of Conduct](https://github.com/lumeland/lume/blob/master/CODE_OF_CONDUCT.md)-->

## Description

<!-- Write a brief description of the changes introduced by this PR -->

This PR adds the [`stylePropertyNameCase`](https://mdxjs.com/packages/mdx/#:~:text=stylePropertyNameCase) option to the MDX plugin.
Without this option, rehype plugins that depend on the `style` attribute—such as [`@shikijs/rehype`](https://shiki.style/packages/rehype#shikijs-rehype)—receive camel-cased style keys (`backgroundColor`), which break valid CSS in the generated HTML.
The new option lets users choose between `'dom'` (camelCase) and `'css'` (kebab-case), ensuring correct serialization for both client-side React and static HTML/SSR use-cases.

## Related Issues

<!--
  Link to the issue that is fixed by this PR (if there is one)
  e.g. Fixes #1234, Addresses #1234, Related to #1234, etc.
-->

There is no existing issue in this repository that tracks this problem.  
However, https://github.com/shikijs/shiki/issues/633 demonstrates the same style-attribute bug that this option might resolve.

### Check List

- [x] Have you read the
      [CODE OF CONDUCT](https://github.com/lumeland/lume/blob/master/CODE_OF_CONDUCT.md)
- [x] Have you read the document
      [CONTRIBUTING](https://github.com/lumeland/lume/blob/master/CONTRIBUTING.md)
  - [x] One pull request per feature. If you want to do more than one thing,
        send multiple pull request.
  - [ ] Write tests.
  - [x] Run deno `fmt` to fix the code format before commit.
  - [x] Document any change in the `CHANGELOG.md`.
"
3285933906,773,prism plugin doesn't work for C++ language,scarf005,08/02/2025 13:31:08 +00:00,08/02/2025 15:42:29 +00:00,08/02/2025 14:11:19 +00:00,bug,"### Version

3.0.5

### Platform

linux

### What steps will reproduce the bug?

```
scarf@fedora ~/r/etc> mkdir prism-repro
scarf@fedora ~/r/etc> cd prism-repro/
scarf@fedora ~/r/e/prism-repro> deno run -A https://lume.land/init.ts

Welcome to Lume v3.0.5!

 ? What kind of setup do you want? › Basic + plugins
 ? Select the plugins to install (More info at https://lume.land/plugins/) › prism
 ? Do you want to setup a CMS? (More info at https://lume.land/cms/) › No

🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

  BENVIDO - WELCOME! 🎉🎉🎉

  Lume has been configured successfully!

🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

Quick start:

  deno task serve to start a local server

See https://lume.land for online documentation
See https://discord.gg/YbTmpACHWB to propose new ideas and get help at Discord
See https://github.com/lumeland/lume to view the source code and report issues
See https://opencollective.com/lume to support Lume development
```

insert `import ""npm:prismjs/components/prism-cpp.js""` into `_config.ts` then `deno task serve`

### How often does it reproduce? Is there a required condition?

always

### What is the expected behavior?

prism works

### What do you see instead?

```
scarf@fedora ~/r/e/prism-repro> deno task serve
Task serve deno task lume -s
Task lume echo ""import 'lume/cli.ts'"" | deno run -A - ""-s""
Loading config file file:///run/media/home/scarf/repo/etc/prism-repro/_config.ts
error: Uncaught (in worker """") (in promise) TypeError: Cannot set properties of undefined (setting 'class-name')
    at Object.extend (file:///var/home/scarf/.cache/deno/npm/registry.npmjs.org/prismjs/1.30.0/prism.js:345:16)
    at file:///var/home/scarf/.cache/deno/npm/registry.npmjs.org/prismjs/1.30.0/components/prism-cpp.js:6:40
    at file:///var/home/scarf/.cache/deno/npm/registry.npmjs.org/prismjs/1.30.0/components/prism-cpp.js:99:2
    at Object.<anonymous> (file:///var/home/scarf/.cache/deno/npm/registry.npmjs.org/prismjs/1.30.0/components/prism-cpp.js:101:3)
    at Module._compile (node:module:757:34)
    at loadMaybeCjs (node:module:782:10)
    at Object.Module._extensions..js (node:module:767:12)
    at Module.load (node:module:675:32)
    at Module._load (node:module:535:12)
    at Module.require (node:module:694:19)
error: Uncaught (in promise) Error: Unhandled error in child worker.
    at Worker.#pollControl (ext:runtime/11_workers.js:204:19)
    at eventLoopTick (ext:core/01_core.js:179:7)
scarf@fedora ~/r/e/prism-repro [1]> 
```

### Additional information

_No response_"
3281236719,772,fix date handling in sheets plugin,gilesdring,07/31/2025 17:25:58 +00:00,08/01/2025 10:58:01 +00:00,07/31/2025 17:52:10 +00:00,,"## Description

I noticed an issue with handling of dates in CSV files in the sheets plugin. If the `cellDates` option was set, and a date was provided (with no timezone information) the date was off by one under daylight savings (may be because I'm in GMT which is close to UTC). The internal representation seems to be UTC, and setting `UTC: true` on the `sheet_to_json` function fixes the issue. I don't think this should cause issues with other formats.

## Related Issues

None.

### Check List

- [x] Have you read the
      [CODE OF CONDUCT](https://github.com/lumeland/lume/blob/master/CODE_OF_CONDUCT.md)
- [x] Have you read the document
      [CONTRIBUTING](https://github.com/lumeland/lume/blob/master/CONTRIBUTING.md)
  - [x] One pull request per feature. If you want to do more than one thing,
        send multiple pull request.
  - [x] Write tests.
  - [x] Run deno `fmt` to fix the code format before commit.
  - [x] Document any change in the `CHANGELOG.md`.
"
3256964935,771,Add a try-catch to the Katex plugin,cafour,07/23/2025 16:12:19 +00:00,07/23/2025 17:13:39 +00:00,07/23/2025 17:13:24 +00:00,,"<!--Please read the [Code of Conduct](https://github.com/lumeland/lume/blob/master/CODE_OF_CONDUCT.md)-->

Hello, thank you for a wonderful static site generator. I've been using it for a few years, and I've enjoyed working with it very much. :3

## Description

When one uses the Katex plugin **with delimiters**, sometimes it can crash the whole build/watch process because Katex's `renderMathInElement` is not in a try-catch like `Katex.renderToString` is, so I've added that. (The `throwOnError` option is of little help, since [that only applies to `ParseError`s](https://github.com/KaTeX/KaTeX/issues/3680).)

## Related Issues

None that I could find.

### Check List

- [x] Have you read the
      [CODE OF CONDUCT](https://github.com/lumeland/lume/blob/master/CODE_OF_CONDUCT.md)
- [x] Have you read the document
      [CONTRIBUTING](https://github.com/lumeland/lume/blob/master/CONTRIBUTING.md)
  - [x] One pull request per feature. If you want to do more than one thing,
        send multiple pull request.
  - [x] Write tests. (IMHO no tests needed for change this little.)
  - [x] Run deno `fmt` to fix the code format before commit.
  - [x] Document any change in the `CHANGELOG.md`.
"
