Internal Entity UUID,Entity Type,Original Platform ID,Short Representation,URL,Link Text (Mask),Link href Text,Link href URL,Link Type,Documentation Source,Resource Type,Resource Availability,Unavailability Reason,Bytes,Words,Tags
418c9933-fbdf-4878-8194-3b5e04807171,Discussion,"D_kwDOAblrlc4Aa6FN","Release 3.8 is out!","https://github.com/prmr/JetUML/discussions/558",,,,,,,,,,,
d5cacef6-c545-4946-b81a-eaeb558db80b,Discussion,"D_kwDOAblrlc4AXvWV","Upcoming support for underlining and italics in classes","https://github.com/prmr/JetUML/discussions/535",,,,,,,,,,,
0c35af8c-8eca-4de0-b8bb-7e13dd36882e,Discussion,"D_kwDOAblrlc4AXvUl","Welcome to JetUML Discussions!","https://github.com/prmr/JetUML/discussions/534",,,,,,,,,,,
6bb3314c-0e12-4280-9724-d2a4368192a4,TextFile,"prmr/JetUML/.github/ISSUE_TEMPLATE/bug_report.md",".github/ISSUE_TEMPLATE/bug_report.md","https://github.com/prmr/JetUML/blob/master/.github/ISSUE_TEMPLATE/bug_report.md",,,,,,,,,,,
f7cfd588-ba97-40d7-88b8-4a4ea3fa56e0,TextFile,"prmr/JetUML/CODE_OF_CONDUCT.md","CODE_OF_CONDUCT.md","https://github.com/prmr/JetUML/blob/master/CODE_OF_CONDUCT.md","Contributor Covenant","http://contributor-covenant.org","http://contributor-covenant.org","Link","contributor-covenant.org","Resource Container","True","",15759,2307,251
f7cfd588-ba97-40d7-88b8-4a4ea3fa56e0,TextFile,"prmr/JetUML/CODE_OF_CONDUCT.md","CODE_OF_CONDUCT.md","https://github.com/prmr/JetUML/blob/master/CODE_OF_CONDUCT.md","http://contributor-covenant.org/version/1/4","http://contributor-covenant.org/version/1/4/","http://contributor-covenant.org/version/1/4/","Link","contributor-covenant.org","Website Subsection","True","",391,61,7
d15d57e8-290a-4efc-93ff-4294c4ddeff8,TextFile,"prmr/JetUML/docs/architecture.md","docs/architecture.md","https://github.com/prmr/JetUML/blob/master/docs/architecture.md","Diagram State Management","functional/DiagramState.md","https://github.com/prmr/JetUML/blob/master/docs/functional/DiagramState.md","RelativeDocumentLink","github.com","MarkDown","True","",193898,33394,
d15d57e8-290a-4efc-93ff-4294c4ddeff8,TextFile,"prmr/JetUML/docs/architecture.md","docs/architecture.md","https://github.com/prmr/JetUML/blob/master/docs/architecture.md","Node Storage","functional/NodeStorage.md","https://github.com/prmr/JetUML/blob/master/docs/functional/NodeStorage.md","RelativeDocumentLink","github.com","MarkDown","True","",200734,34423,
d15d57e8-290a-4efc-93ff-4294c4ddeff8,TextFile,"prmr/JetUML/docs/architecture.md","docs/architecture.md","https://github.com/prmr/JetUML/blob/master/docs/architecture.md","Tab Management","functional/TabManagement.md","https://github.com/prmr/JetUML/blob/master/docs/functional/TabManagement.md","RelativeDocumentLink","github.com","MarkDown","True","",193506,33318,
d15d57e8-290a-4efc-93ff-4294c4ddeff8,TextFile,"prmr/JetUML/docs/architecture.md","docs/architecture.md","https://github.com/prmr/JetUML/blob/master/docs/architecture.md","Diagram Element Properties","functional/properties.md","https://github.com/prmr/JetUML/blob/master/docs/functional/properties.md","RelativeDocumentLink","github.com","MarkDown","True","",205705,35285,
d15d57e8-290a-4efc-93ff-4294c4ddeff8,TextFile,"prmr/JetUML/docs/architecture.md","docs/architecture.md","https://github.com/prmr/JetUML/blob/master/docs/architecture.md","2.0 Release","http://alexdp.free.fr/violetumleditor/page.php","http://alexdp.free.fr/violetumleditor/page.php","Link","alexdp.free.fr","HTML","True","",8795,1042,146
d15d57e8-290a-4efc-93ff-4294c4ddeff8,TextFile,"prmr/JetUML/docs/architecture.md","docs/architecture.md","https://github.com/prmr/JetUML/blob/master/docs/architecture.md","Violet Project","http://www.horstmann.com/violet/","http://www.horstmann.com/violet/","Link","www.horstmann.com","Website Subsection","True","",14990,2577,177
d15d57e8-290a-4efc-93ff-4294c4ddeff8,TextFile,"prmr/JetUML/docs/architecture.md","docs/architecture.md","https://github.com/prmr/JetUML/blob/master/docs/architecture.md","streaming","https://docs.oracle.com/javase/8/docs/api/java/util/stream/package-summary.html","https://docs.oracle.com/javase/8/docs/api/java/util/stream/package-summary.html","Link","docs.oracle.com","HTML","True","",55600,7997,627
58023c55-16ff-469d-95ce-2e0e2af24cc8,TextFile,"prmr/JetUML/docs/CONTRIBUTING.md","docs/CONTRIBUTING.md","https://github.com/prmr/JetUML/blob/master/docs/CONTRIBUTING.md","Code of Conduct","#code-of-conduct","https://github.com/prmr/JetUML/blob/master/docs/CONTRIBUTING.md#code-of-conduct","SameDocumentLink","github.com","MarkDown","True","",196576,34193,
58023c55-16ff-469d-95ce-2e0e2af24cc8,TextFile,"prmr/JetUML/docs/CONTRIBUTING.md","docs/CONTRIBUTING.md","https://github.com/prmr/JetUML/blob/master/docs/CONTRIBUTING.md","Reporting Bugs","#reporting-bugs","https://github.com/prmr/JetUML/blob/master/docs/CONTRIBUTING.md#reporting-bugs","SameDocumentLink","github.com","MarkDown","True","",196576,34193,
58023c55-16ff-469d-95ce-2e0e2af24cc8,TextFile,"prmr/JetUML/docs/CONTRIBUTING.md","docs/CONTRIBUTING.md","https://github.com/prmr/JetUML/blob/master/docs/CONTRIBUTING.md","JetUML code of conduct","../CODE_OF_CONDUCT.md","https://github.com/prmr/JetUML/blob/master/docs/../CODE_OF_CONDUCT.md","RelativeDocumentLink","github.com","MarkDown","True","",196358,34230,
58023c55-16ff-469d-95ce-2e0e2af24cc8,TextFile,"prmr/JetUML/docs/CONTRIBUTING.md","docs/CONTRIBUTING.md","https://github.com/prmr/JetUML/blob/master/docs/CONTRIBUTING.md","list of issues","https://github.com/prmr/JetUML/issues","https://github.com/prmr/JetUML/issues","GitHubIssueLink (sr)","github.com","GitHub Resource","True","",233174,,
58023c55-16ff-469d-95ce-2e0e2af24cc8,TextFile,"prmr/JetUML/docs/CONTRIBUTING.md","docs/CONTRIBUTING.md","https://github.com/prmr/JetUML/blob/master/docs/CONTRIBUTING.md","most recent release","https://github.com/prmr/JetUML/releases","https://github.com/prmr/JetUML/releases","GitHubReleaseLink (sr)","github.com","GitHub Resource","True","",332534,,
